n,u_height,u_deq,log2n
10.000000,5.600000,2.860000,3.321928
10.000000,5.580000,2.900000,3.321928
11.000000,5.680000,2.560000,3.459432
11.000000,5.820000,2.920000,3.459432
12.000000,6.160000,3.080000,3.584963
13.000000,6.500000,3.300000,3.700440
14.000000,6.340000,3.120000,3.807355
15.000000,6.820000,3.520000,3.906891
15.000000,6.620000,2.900000,3.906891
16.000000,7.240000,3.880000,4.000000
17.000000,7.160000,3.220000,4.087463
18.000000,7.580000,3.700000,4.169925
20.000000,7.860000,3.440000,4.321928
21.000000,7.800000,3.660000,4.392317
22.000000,8.160000,4.100000,4.459432
23.000000,8.200000,3.540000,4.523562
25.000000,8.400000,3.840000,4.643856
26.000000,8.680000,4.280000,4.700440
28.000000,9.000000,4.440000,4.807355
30.000000,9.220000,4.260000,4.906891
31.000000,9.200000,3.880000,4.954196
33.000000,9.320000,3.720000,5.044394
35.000000,9.860000,4.560000,5.129283
38.000000,9.780000,3.940000,5.247928
40.000000,10.280000,4.280000,5.321928
42.000000,10.280000,4.360000,5.392317
45.000000,10.500000,4.440000,5.491853
47.000000,10.780000,5.200000,5.554589
50.000000,10.880000,4.440000,5.643856
53.000000,11.140000,5.000000,5.727920
57.000000,11.180000,4.600000,5.832890
60.000000,11.400000,5.480000,5.906891
64.000000,11.540000,4.300000,6.000000
67.000000,12.040000,4.600000,6.066089
71.000000,12.120000,4.500000,6.149747
76.000000,11.960000,3.860000,6.247928
80.000000,12.740000,4.760000,6.321928
85.000000,12.740000,4.200000,6.409391
90.000000,12.920000,4.620000,6.491853
96.000000,13.640000,5.940000,6.584963
101.000000,13.440000,4.560000,6.658211
108.000000,13.380000,4.640000,6.754888
114.000000,13.700000,4.780000,6.832890
121.000000,14.000000,5.040000,6.918863
128.000000,14.300000,4.900000,7.000000
136.000000,14.820000,4.840000,7.087463
144.000000,14.900000,5.460000,7.169925
153.000000,14.460000,3.820000,7.257388
162.000000,15.360000,5.720000,7.339850
171.000000,15.240000,5.360000,7.417853
182.000000,15.840000,5.180000,7.507795
193.000000,15.820000,5.020000,7.592457
204.000000,16.400000,5.620000,7.672425
216.000000,16.280000,5.180000,7.754888
229.000000,16.500000,5.640000,7.839204
243.000000,17.000000,5.580000,7.924813
258.000000,16.680000,5.600000,8.011227
273.000000,16.720000,5.040000,8.092757
289.000000,17.220000,4.560000,8.174926
307.000000,17.680000,5.000000,8.262095
325.000000,17.560000,5.360000,8.344296
344.000000,17.700000,4.820000,8.426265
365.000000,18.140000,5.300000,8.511753
387.000000,17.960000,4.700000,8.596190
410.000000,18.840000,5.740000,8.679480
435.000000,18.920000,6.620000,8.764872
461.000000,19.340000,7.080000,8.848623
488.000000,19.660000,6.160000,8.930737
517.000000,19.340000,5.440000,9.014020
548.000000,19.660000,5.580000,9.098032
581.000000,20.060000,5.480000,9.182394
616.000000,19.840000,4.900000,9.266787
653.000000,20.300000,5.340000,9.350939
692.000000,20.820000,5.840000,9.434628
733.000000,20.580000,5.340000,9.517669
777.000000,21.000000,6.040000,9.601771
824.000000,21.480000,6.020000,9.686501
873.000000,21.620000,5.240000,9.769838
925.000000,22.160000,6.180000,9.853310
980.000000,22.060000,5.720000,9.936638
1039.000000,22.560000,6.260000,10.020980
1101.000000,22.880000,6.940000,10.104599
1167.000000,22.360000,5.060000,10.188589
1237.000000,22.800000,5.340000,10.272630
1311.000000,23.380000,5.840000,10.356452
1389.000000,23.780000,6.680000,10.439831
1472.000000,23.540000,5.940000,10.523562
1560.000000,23.880000,5.620000,10.607330
1653.000000,23.860000,6.300000,10.690871
1752.000000,24.000000,5.440000,10.774787
1857.000000,24.700000,5.760000,10.858758
1968.000000,24.680000,6.860000,10.942515
2086.000000,24.800000,6.080000,11.026523
2210.000000,24.800000,4.400000,11.109831
2342.000000,25.080000,4.880000,11.193525
2482.000000,25.660000,6.340000,11.277287
2631.000000,25.920000,5.980000,11.361396
2788.000000,26.300000,5.280000,11.445015
2955.000000,26.420000,5.260000,11.528942
3131.000000,26.300000,4.440000,11.612408
3319.000000,27.060000,5.860000,11.696533
3517.000000,27.280000,6.320000,11.780130
3727.000000,27.120000,6.020000,11.863799
3950.000000,27.800000,5.960000,11.947637
4186.000000,27.740000,6.600000,12.031357
4436.000000,27.120000,4.580000,12.115044
4701.000000,28.380000,6.020000,12.198752
4982.000000,28.380000,5.380000,12.282509
5280.000000,28.800000,4.880000,12.366322
5596.000000,28.660000,4.880000,12.450180
5930.000000,29.100000,6.380000,12.533816
6285.000000,29.380000,5.720000,12.617697
6660.000000,29.020000,5.800000,12.701306
7058.000000,29.420000,5.020000,12.785044
7480.000000,30.320000,5.780000,12.868823
7927.000000,30.100000,5.700000,12.952559
8401.000000,30.820000,6.840000,13.036345
8903.000000,30.700000,5.380000,13.120076
9436.000000,30.920000,5.900000,13.203960
10000.000000,30.860000,4.340000,13.287712
