N, avg_cmp, avg_ech
10, 23.920000, 9.760000
50, 255.240000, 107.820000
90, 560.500000, 230.050000
130, 904.720000, 391.540000
170, 1274.650000, 562.870000
210, 1654.820000, 730.970000
250, 2061.470000, 918.460000
290, 2507.870000, 1094.020000
330, 2901.040000, 1305.200000
370, 3346.730000, 1470.730000
410, 3760.690000, 1685.190000
450, 4204.640000, 1906.870000
490, 4666.110000, 2082.030000
530, 5150.680000, 2302.540000
570, 5592.270000, 2488.840000
610, 6135.740000, 2806.330000
650, 6508.970000, 2922.790000
690, 7095.540000, 3204.830000
730, 7515.830000, 3414.390000
770, 8019.650000, 3678.510000
810, 8580.980000, 3829.880000
850, 9101.940000, 4191.600000
890, 9632.680000, 4389.440000
930, 10206.920000, 4595.890000
970, 10580.030000, 4866.210000
1010, 11099.090000, 5022.690000
1050, 11491.790000, 5315.660000
1090, 12079.660000, 5521.940000
1130, 12658.780000, 5783.590000
1170, 13197.200000, 6042.570000
1210, 13836.790000, 6382.000000
1250, 14232.360000, 6525.990000
1290, 14789.890000, 6845.410000
1330, 15203.560000, 6911.900000
1370, 15805.470000, 7082.290000
1410, 16352.770000, 7528.350000
1450, 17049.030000, 7799.330000
1490, 17570.520000, 8089.360000
1530, 18089.920000, 8275.610000
1570, 18743.810000, 8482.490000
1610, 19217.540000, 8912.930000
1650, 19758.890000, 8999.210000
1690, 20463.040000, 9267.920000
1730, 20915.650000, 9437.760000
1770, 21434.350000, 10007.610000
1810, 22003.720000, 10064.500000
1850, 22563.270000, 10375.060000
1890, 23299.380000, 10891.580000
1930, 23457.360000, 10822.550000
1970, 24267.840000, 11143.180000
2010, 24879.250000, 11280.490000
2050, 25506.240000, 11481.580000
2090, 26025.330000, 12014.890000
2130, 26578.580000, 12169.820000
2170, 27371.680000, 12626.270000
2210, 27935.500000, 12784.880000
2250, 28271.270000, 13152.690000
2290, 29003.010000, 13471.700000
2330, 29370.040000, 13679.460000
2370, 29995.060000, 13665.370000
2410, 30580.920000, 14070.610000
2450, 31384.490000, 14515.880000
2490, 32077.900000, 14807.020000
2530, 32575.730000, 14941.750000
2570, 32931.990000, 15061.580000
2610, 33735.580000, 15518.010000
2650, 34280.940000, 15880.950000
2690, 34680.260000, 16164.010000
2730, 35634.110000, 16288.620000
2770, 36271.380000, 16853.990000
2810, 36581.000000, 16869.160000
2850, 37213.160000, 17147.330000
2890, 37608.230000, 17288.340000
2930, 38505.040000, 17941.560000
2970, 39254.290000, 17917.270000
3010, 39484.040000, 18174.220000
3050, 40476.780000, 18545.730000
3090, 40676.820000, 18821.490000
3130, 41547.240000, 18991.260000
3170, 41938.600000, 19439.250000
3210, 42679.470000, 19851.430000
3250, 43096.340000, 19849.430000
3290, 43980.460000, 20414.640000
3330, 44558.670000, 20633.960000
3370, 45536.670000, 20952.540000
3410, 45957.460000, 20961.850000
3450, 46252.310000, 21385.820000
3490, 47606.130000, 21714.150000
3530, 47537.040000, 22096.290000
3570, 48266.760000, 22120.200000
3610, 48834.360000, 22620.330000
3650, 48973.050000, 22812.140000
3690, 50260.000000, 23222.220000
3730, 50829.380000, 23526.240000
3770, 50987.980000, 23693.470000
3810, 51986.680000, 23703.600000
3850, 52674.790000, 24218.780000
3890, 53301.880000, 24735.210000
3930, 53983.550000, 25202.420000
3970, 54309.830000, 25395.160000
4010, 55187.670000, 25523.060000
4050, 56084.600000, 25796.210000
4090, 56426.130000, 26513.390000
4130, 57134.230000, 26391.650000
4170, 58052.060000, 26634.380000
4210, 58580.260000, 27155.240000
4250, 58296.800000, 27048.440000
4290, 59483.940000, 27675.780000
4330, 60054.640000, 28107.270000
4370, 60381.960000, 27844.710000
4410, 61439.350000, 28317.030000
4450, 62554.190000, 28990.960000
4490, 62418.220000, 29088.630000
4530, 63226.390000, 29068.600000
4570, 64862.440000, 30559.170000
4610, 64454.590000, 29645.130000
4650, 65544.260000, 30679.120000
4690, 65914.250000, 30889.860000
4730, 67172.970000, 31216.090000
4770, 67654.350000, 31723.030000
4810, 67651.860000, 31555.010000
4850, 68478.210000, 32052.870000
4890, 69065.980000, 32086.850000
4930, 69639.130000, 32213.950000
4970, 70535.930000, 32552.420000
