N, avg_cmp, avg_ech
10, 23.600000, 18.830000
50, 257.070000, 161.080000
90, 574.310000, 345.530000
130, 906.050000, 551.400000
170, 1265.480000, 740.110000
210, 1670.330000, 983.370000
250, 2044.410000, 1190.960000
290, 2493.240000, 1472.310000
330, 2897.550000, 1644.470000
370, 3362.170000, 1947.460000
410, 3810.440000, 2185.640000
450, 4222.670000, 2450.440000
490, 4667.650000, 2647.680000
530, 5106.380000, 2885.390000
570, 5605.860000, 3127.640000
610, 6048.000000, 3415.430000
650, 6548.380000, 3707.780000
690, 7078.640000, 4010.790000
730, 7516.980000, 4211.470000
770, 8075.660000, 4530.790000
810, 8654.880000, 4807.210000
850, 9091.730000, 5187.050000
890, 9643.090000, 5380.250000
930, 10066.590000, 5710.700000
970, 10568.620000, 5940.670000
1010, 11169.800000, 6233.140000
1050, 11672.130000, 6489.250000
1090, 12201.860000, 6775.710000
1130, 12758.800000, 7120.040000
1170, 13230.350000, 7295.960000
1210, 13775.330000, 7677.580000
1250, 14224.590000, 7848.040000
1290, 14772.260000, 8219.990000
1330, 15285.460000, 8569.560000
1370, 16052.600000, 9076.170000
1410, 16444.420000, 9172.710000
1450, 16958.930000, 9350.360000
1490, 17534.720000, 9790.580000
1530, 17954.030000, 10055.950000
1570, 18605.390000, 10294.800000
1610, 19528.610000, 10835.350000
1650, 19778.880000, 11133.740000
1690, 20381.360000, 11259.060000
1730, 21030.780000, 11670.200000
1770, 21413.710000, 11860.810000
1810, 21977.700000, 12224.500000
1850, 22576.270000, 12401.940000
1890, 23301.000000, 12759.890000
1930, 23793.810000, 13192.780000
1970, 24271.010000, 13492.670000
2010, 24836.210000, 13870.340000
2050, 25404.700000, 14023.360000
2090, 25652.770000, 14290.550000
2130, 26510.670000, 14585.400000
2170, 27213.570000, 14956.170000
2210, 27851.690000, 15455.970000
2250, 28318.880000, 15599.990000
2290, 28956.190000, 15900.870000
2330, 29454.060000, 16256.610000
2370, 30216.520000, 16710.290000
2410, 30741.530000, 17157.500000
2450, 31068.130000, 17215.240000
2490, 32003.830000, 17538.480000
2530, 32350.880000, 18008.760000
2570, 33032.400000, 18281.480000
2610, 33596.800000, 18519.290000
2650, 34459.720000, 19021.510000
2690, 34466.350000, 18998.650000
2730, 35358.090000, 19522.630000
2770, 35981.330000, 20048.340000
2810, 36971.100000, 20390.460000
2850, 37124.880000, 20486.120000
2890, 37907.530000, 20670.880000
2930, 38611.070000, 21229.080000
2970, 38970.300000, 21405.980000
3010, 40130.170000, 21963.600000
3050, 40559.410000, 22313.910000
3090, 40319.740000, 22024.600000
3130, 41416.400000, 22886.430000
3170, 42367.170000, 22992.080000
3210, 42816.500000, 23684.440000
3250, 43356.360000, 24080.490000
3290, 43738.920000, 23993.790000
3330, 44448.550000, 24428.120000
3370, 45067.380000, 24561.480000
3410, 45626.330000, 25070.300000
3450, 46606.800000, 25536.700000
3490, 47070.080000, 25963.270000
3530, 47354.410000, 26213.970000
3570, 48182.900000, 26496.700000
3610, 49058.790000, 26937.850000
3650, 48965.470000, 26483.420000
3690, 49955.050000, 27683.880000
3730, 50487.970000, 27740.360000
3770, 51737.820000, 27986.880000
3810, 52423.160000, 28625.450000
3850, 52360.160000, 28356.660000
3890, 53293.230000, 29345.130000
3930, 53634.840000, 29656.580000
3970, 54338.840000, 29784.400000
4010, 55548.820000, 30566.140000
4050, 55974.620000, 30654.660000
4090, 56221.210000, 30561.400000
4130, 56520.330000, 31211.700000
4170, 57391.730000, 31645.660000
4210, 57897.300000, 32109.300000
4250, 59057.940000, 32274.900000
4290, 59430.730000, 32854.090000
4330, 60230.140000, 32405.020000
4370, 60905.390000, 33738.660000
4410, 61342.830000, 33891.960000
4450, 61702.680000, 33791.070000
4490, 63327.910000, 34333.430000
4530, 63546.640000, 35038.690000
4570, 63923.610000, 34812.260000
4610, 64684.280000, 35353.480000
4650, 65520.100000, 35845.730000
4690, 66021.980000, 36134.450000
4730, 66941.770000, 36219.340000
4770, 67172.190000, 36520.600000
4810, 68087.160000, 37278.200000
4850, 68802.240000, 37297.500000
4890, 68943.980000, 37415.190000
4930, 69667.540000, 37987.190000
4970, 70177.500000, 38366.290000
