N, avg_cmp, avg_ech
10, 19.160000, 9.350000
50, 185.380000, 70.460000
90, 395.290000, 144.860000
130, 635.530000, 223.440000
170, 889.700000, 307.270000
210, 1139.930000, 393.680000
250, 1414.780000, 482.500000
290, 1715.830000, 573.410000
330, 2019.190000, 665.060000
370, 2309.880000, 760.760000
410, 2625.150000, 857.660000
450, 2878.930000, 955.940000
490, 3271.780000, 1054.470000
530, 3552.870000, 1153.020000
570, 3906.590000, 1253.330000
610, 4226.510000, 1356.740000
650, 4550.450000, 1457.650000
690, 4884.560000, 1560.510000
730, 5194.820000, 1664.440000
770, 5547.870000, 1772.360000
810, 5899.870000, 1877.580000
850, 6254.710000, 1981.160000
890, 6600.570000, 2085.210000
930, 6922.450000, 2199.100000
970, 7272.880000, 2304.500000
1010, 7634.880000, 2411.490000
1050, 7965.540000, 2523.160000
1090, 8284.460000, 2639.510000
1130, 8730.820000, 2744.810000
1170, 9278.340000, 2842.160000
1210, 9659.380000, 2956.310000
1250, 9781.040000, 3080.350000
1290, 10069.330000, 3186.410000
1330, 10478.880000, 3299.020000
1370, 11020.780000, 3409.610000
1410, 11212.700000, 3526.910000
1450, 11606.630000, 3636.290000
1490, 12032.360000, 3748.520000
1530, 12549.340000, 3862.530000
1570, 12815.440000, 3979.420000
1610, 13337.020000, 4093.300000
1650, 13423.460000, 4213.110000
1690, 13715.560000, 4329.980000
1730, 14377.820000, 4438.770000
1770, 14609.490000, 4567.490000
1810, 14996.210000, 4675.830000
1850, 15463.830000, 4787.310000
1890, 16034.760000, 4907.970000
1930, 15931.180000, 5035.860000
1970, 16390.350000, 5157.420000
2010, 17067.380000, 5259.570000
2050, 17391.580000, 5376.500000
2090, 17459.920000, 5504.870000
2130, 18307.710000, 5612.170000
2170, 18739.620000, 5729.990000
2210, 19164.950000, 5857.000000
2250, 19432.180000, 5972.890000
2290, 19865.360000, 6094.610000
2330, 20137.560000, 6212.980000
2370, 20602.280000, 6333.570000
2410, 20782.110000, 6454.060000
2450, 21496.140000, 6566.430000
2490, 21925.860000, 6690.290000
2530, 22035.790000, 6819.310000
2570, 22497.240000, 6942.930000
2610, 23330.920000, 7051.480000
2650, 23558.750000, 7168.120000
2690, 23853.750000, 7306.190000
2730, 24105.510000, 7430.310000
2770, 24891.690000, 7534.810000
2810, 24961.260000, 7674.590000
2850, 25329.560000, 7801.510000
2890, 25597.390000, 7921.520000
2930, 26562.950000, 8021.490000
2970, 26838.490000, 8159.540000
3010, 27459.470000, 8273.130000
3050, 27669.720000, 8408.070000
3090, 27995.610000, 8530.900000
3130, 28509.790000, 8651.500000
3170, 28433.150000, 8795.050000
3210, 29260.560000, 8896.630000
3250, 29286.510000, 9036.910000
3290, 29796.070000, 9162.720000
3330, 30423.730000, 9280.170000
3370, 31207.470000, 9398.330000
3410, 31460.140000, 9518.990000
3450, 31562.170000, 9650.330000
3490, 32096.920000, 9771.140000
3530, 32521.470000, 9907.860000
3570, 32885.000000, 10026.600000
3610, 33457.420000, 10145.480000
3650, 33503.940000, 10299.370000
3690, 33952.150000, 10420.990000
3730, 33995.920000, 10560.340000
3770, 34874.910000, 10668.020000
3810, 35507.250000, 10788.460000
3850, 36054.990000, 10912.360000
3890, 36589.780000, 11027.140000
3930, 36916.000000, 11163.050000
3970, 37301.600000, 11286.380000
4010, 37753.190000, 11419.650000
4050, 37767.660000, 11554.820000
4090, 38181.480000, 11688.480000
4130, 38618.040000, 11824.780000
4170, 39237.390000, 11937.200000
4210, 39952.970000, 12065.570000
4250, 40504.780000, 12168.520000
4290, 40566.970000, 12314.710000
4330, 41448.420000, 12436.840000
4370, 41782.520000, 12563.400000
4410, 41880.210000, 12693.520000
4450, 42450.350000, 12821.010000
4490, 43242.470000, 12940.960000
4530, 43467.890000, 13083.460000
4570, 43309.160000, 13224.120000
4610, 44097.720000, 13343.150000
4650, 44659.690000, 13465.660000
4690, 44778.090000, 13608.660000
4730, 45753.780000, 13712.700000
4770, 45398.390000, 13873.050000
4810, 46249.450000, 14001.190000
4850, 47087.630000, 14118.080000
4890, 47080.710000, 14249.120000
4930, 47525.610000, 14377.700000
4970, 48304.350000, 14500.820000
